arquivo;caminho;campo;observacao
governador-pr.json;candidatos[2].partido;cand3_partido;sempre o candidato numero 30
governador-pr.json;candidatos[2].nome_partido;cand3_nome_partido;sempre o candidato numero 30
governador-pr.json;candidatos[2].percentual;cand3_percentual;sempre o candidato numero 30
governador-pr.json;candidatos[2].percentual_num;cand3_percentual_num;sempre o candidato numero 30
governador-pr.json;candidatos[2].votos;cand3_votos;sempre o candidato numero 30
governador-pr.json;candidatos[2].foto;cand3_foto;sempre o candidato numero 30
governador-pr.json;candidatos[2].cor;cand3_cor;sempre o candidato numero 30
governador-pr.json;candidatos[2].eleito;cand3_eleito;sempre o candidato numero 30
governador-pr.json;candidatos[2].barra_px;cand3_barra_px;sempre o candidato numero 30
governador-pr.json;candidatos[2].barra_resto_px;cand3_barra_resto_px;sempre o candidato numero 30
governador-pr.json;candidatos[2].barra_esc;cand3_barra_esc;sempre o candidato numero 30
governador-pr.json;candidatos[2].barra_idx;cand3_barra_idx;sempre o candidato numero 30
governador-pr.json;plano.cargo;cargo;resumo (plano)
governador-pr.json;plano.abrangencia;abrangencia;resumo (plano)
governador-pr.json;plano.apuracao_pct;apuracao_pct;resumo (plano)
governador-pr.json;plano.apuracao_pct_num;apuracao_pct_num;resumo (plano)
governador-pr.json;plano.selo;selo;resumo (plano)
governador-pr.json;plano.hora_atualizacao;hora_atualizacao;resumo (plano)
governador-pr.json;plano.cand1_visivel;cand1_visivel;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_numero;cand1_numero;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_nome;cand1_nome;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_partido;cand1_partido;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_nome_partido;cand1_nome_partido;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_percentual;cand1_percentual;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_percentual_num;cand1_percentual_num;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_votos;cand1_votos;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_foto;cand1_foto;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_cor;cand1_cor;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_eleito;cand1_eleito;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_barra_px;cand1_barra_px;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_barra_resto_px;cand1_barra_resto_px;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_barra_esc;cand1_barra_esc;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand1_barra_idx;cand1_barra_idx;sempre o candidato numero 10 (plano)
governador-pr.json;plano.cand2_visivel;cand2_visivel;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_numero;cand2_numero;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_nome;cand2_nome;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_partido;cand2_partido;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_nome_partido;cand2_nome_partido;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_percentual;cand2_percentual;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_percentual_num;cand2_percentual_num;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_votos;cand2_votos;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_foto;cand2_foto;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_cor;cand2_cor;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_eleito;cand2_eleito;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_barra_px;cand2_barra_px;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_barra_resto_px;cand2_barra_resto_px;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_barra_esc;cand2_barra_esc;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand2_barra_idx;cand2_barra_idx;sempre o candidato numero 20 (plano)
governador-pr.json;plano.cand3_visivel;cand3_visivel;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_numero;cand3_numero;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_nome;cand3_nome;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_partido;cand3_partido;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_nome_partido;cand3_nome_partido;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_percentual;cand3_percentual;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_percentual_num;cand3_percentual_num;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_votos;cand3_votos;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_foto;cand3_foto;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_cor;cand3_cor;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_eleito;cand3_eleito;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_barra_px;cand3_barra_px;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_barra_resto_px;cand3_barra_resto_px;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_barra_esc;cand3_barra_esc;sempre o candidato numero 30 (plano)
governador-pr.json;plano.cand3_barra_idx;cand3_barra_idx;sempre o candidato numero 30 (plano)
